Symbol,Year,Dividend Date,Market Capitalization,Count of total dividends paid for that year,How much was paid,Placing
AAPL,2022,02/04/2022,2739939573760,4,0.91,1
AAPL,2022,08/05/2022,2739939573760,4,0.91,2
AAPL,2022,11/04/2022,2739939573760,4,0.91,3
AAPL,2022,05/06/2022,2739939573760,4,0.91,4
JNJ,2022,11/21/2022,407662755840,4,4.45,5
JNJ,2022,05/23/2022,407662755840,4,4.45,6
JNJ,2022,02/18/2022,407662755840,4,4.45,7
JNJ,2022,08/22/2022,407662755840,4,4.45,8
JPM,2022,01/05/2022,403363659776,4,4.00,9
JPM,2022,04/05/2022,403363659776,4,4.00,10
JPM,2022,07/05/2022,403363659776,4,4.00,11
JPM,2022,10/05/2022,403363659776,4,4.00,12
WMT,2022,03/17/2022,400799203328,4,2.24,13
WMT,2022,08/11/2022,400799203328,4,2.24,14
WMT,2022,12/08/2022,400799203328,4,2.24,15
WMT,2022,05/05/2022,400799203328,4,2.24,16
PG,2022,10/20/2022,351565643776,4,3.61,17
PG,2022,07/21/2022,351565643776,4,3.61,18
PG,2022,04/21/2022,351565643776,4,3.61,19
PG,2022,01/20/2022,351565643776,4,3.61,20
CVX,2022,05/18/2022,288818921472,4,5.68,21
CVX,2022,08/18/2022,288818921472,4,5.68,22
CVX,2022,02/15/2022,288818921472,4,5.68,23
CVX,2022,11/17/2022,288818921472,4,5.68,24
PEP,2022,03/03/2022,257132052480,4,4.52,25
PEP,2022,06/02/2022,257132052480,4,4.52,26
PEP,2022,09/01/2022,257132052480,4,4.52,27
PEP,2022,12/01/2022,257132052480,4,4.52,28
MCD,2022,02/28/2022,211252707328,4,5.66,29
MCD,2022,06/03/2022,211252707328,4,5.66,30
MCD,2022,08/31/2022,211252707328,4,5.66,31
MCD,2022,11/30/2022,211252707328,4,5.66,32
RY,2022,10/25/2022,131045310464,4,3.83,33
RY,2022,01/25/2022,131045310464,4,3.83,34
RY,2022,07/25/2022,131045310464,4,3.83,35
RY,2022,04/22/2022,131045310464,4,3.83,36
LOW,2022,01/18/2022,121149710336,4,3.70,37
LOW,2022,07/19/2022,121149710336,4,3.70,38
LOW,2022,10/18/2022,121149710336,4,3.70,39
LOW,2022,04/19/2022,121149710336,4,3.70,40
MDT,2022,12/20/2022,119072587776,4,2.67,41
MDT,2022,03/24/2022,119072587776,4,2.67,42
MDT,2022,06/23/2022,119072587776,4,2.67,43
MDT,2022,09/22/2022,119072587776,4,2.67,44
SBUX,2022,02/10/2022,117964562432,4,2.00,45
SBUX,2022,08/11/2022,117964562432,4,2.00,46
SBUX,2022,11/09/2022,117964562432,4,2.00,47
SBUX,2022,05/12/2022,117964562432,4,2.00,48
T,2022,04/13/2022,117100617728,4,1.35,49
T,2022,01/07/2022,117100617728,4,1.35,50
T,2022,10/06/2022,117100617728,4,1.35,51
T,2022,07/08/2022,117100617728,4,1.35,52
IBM,2022,02/10/2022,115775733760,4,6.59,53
IBM,2022,11/09/2022,115775733760,4,6.59,54
IBM,2022,08/09/2022,115775733760,4,6.59,55
IBM,2022,05/09/2022,115775733760,4,6.59,56
CAT,2022,01/19/2022,110632288256,4,4.62,57
CAT,2022,04/22/2022,110632288256,4,4.62,58
CAT,2022,07/19/2022,110632288256,4,4.62,59
CAT,2022,10/21/2022,110632288256,4,4.62,60
ADP,2022,06/09/2022,89453527040,4,4.37,61
ADP,2022,12/08/2022,89453527040,4,4.37,62
ADP,2022,09/08/2022,89453527040,4,4.37,63
ADP,2022,03/10/2022,89453527040,4,4.37,64
CB,2022,12/15/2022,82089287680,4,3.29,65
CB,2022,09/15/2022,82089287680,4,3.29,66
CB,2022,06/16/2022,82089287680,4,3.29,67
CB,2022,03/17/2022,82089287680,4,3.29,68
ITW,2022,06/29/2022,69086273536,4,5.06,69
ITW,2022,09/29/2022,69086273536,4,5.06,70
ITW,2022,12/29/2022,69086273536,4,5.06,71
ITW,2022,03/30/2022,69086273536,4,5.06,72
CNQ,2022,08/22/2022,62879694848,5,3.50,73
CNQ,2022,12/15/2022,62879694848,5,3.50,74
CNQ,2022,03/17/2022,62879694848,5,3.50,75
CNQ,2022,06/16/2022,62879694848,5,3.50,76
CNQ,2022,09/15/2022,62879694848,5,3.50,77
BMO,2022,01/31/2022,61954723840,4,4.19,78
BMO,2022,04/29/2022,61954723840,4,4.19,79
BMO,2022,07/29/2022,61954723840,4,4.19,80
BMO,2022,10/31/2022,61954723840,4,4.19,81
SHW,2022,11/17/2022,59479748608,4,2.40,82
SHW,2022,05/19/2022,59479748608,4,2.40,83
SHW,2022,02/25/2022,59479748608,4,2.40,84
SHW,2022,08/18/2022,59479748608,4,2.40,85
BNS,2022,10/03/2022,59058085888,3,2.34,86
BNS,2022,07/05/2022,59058085888,3,2.34,87
BNS,2022,04/04/2022,59058085888,3,2.34,88
GD,2022,01/13/2022,58301886464,4,4.97,89
GD,2022,10/06/2022,58301886464,4,4.97,90
GD,2022,06/30/2022,58301886464,4,4.97,91
GD,2022,04/07/2022,58301886464,4,4.97,92
