Symbol,Year,Dividend Date,Market Capitalization,Count of total dividends paid for that year,How much was paid
PEP,2021,03/04/2021,252916334592.0,4.0,1.023
PEP,2021,06/03/2021,252916334592.0,4.0,1.075
PEP,2021,09/02/2021,252916334592.0,4.0,1.075
PEP,2021,12/02/2021,252916334592.0,4.0,1.075
PEP,2022,03/03/2022,252916334592.0,4.0,1.075
PEP,2022,06/02/2022,252916334592.0,4.0,1.15
PEP,2022,09/01/2022,252916334592.0,4.0,1.15
PEP,2022,12/01/2022,252916334592.0,4.0,1.15
T,2021,01/08/2021,110809505792.0,4.0,0.52
T,2021,04/08/2021,110809505792.0,4.0,0.52
T,2021,07/08/2021,110809505792.0,4.0,0.52
T,2021,10/07/2021,110809505792.0,4.0,0.52
T,2022,01/07/2022,110809505792.0,4.0,0.52
T,2022,04/13/2022,110809505792.0,4.0,0.278
T,2022,07/08/2022,110809505792.0,4.0,0.278
T,2022,10/06/2022,110809505792.0,4.0,0.278
PG,2021,01/21/2021,342703407104.0,4.0,0.791
PG,2021,04/22/2021,342703407104.0,4.0,0.87
PG,2021,07/22/2021,342703407104.0,4.0,0.87
PG,2021,10/21/2021,342703407104.0,4.0,0.87
PG,2022,01/20/2022,342703407104.0,4.0,0.87
PG,2022,04/21/2022,342703407104.0,4.0,0.913
PG,2022,07/21/2022,342703407104.0,4.0,0.913
PG,2022,10/20/2022,342703407104.0,4.0,0.913
LTC,2021,01/20/2021,1292389376.0,12.0,0.19
LTC,2021,02/17/2021,1292389376.0,12.0,0.19
LTC,2021,03/22/2021,1292389376.0,12.0,0.19
LTC,2021,04/21/2021,1292389376.0,12.0,0.19
LTC,2021,05/19/2021,1292389376.0,12.0,0.19
LTC,2021,06/21/2021,1292389376.0,12.0,0.19
LTC,2021,07/21/2021,1292389376.0,12.0,0.19
LTC,2021,08/20/2021,1292389376.0,12.0,0.19
LTC,2021,09/21/2021,1292389376.0,12.0,0.19
LTC,2021,10/20/2021,1292389376.0,12.0,0.19
LTC,2021,11/18/2021,1292389376.0,12.0,0.19
LTC,2021,12/22/2021,1292389376.0,12.0,0.19
LTC,2022,01/20/2022,1292389376.0,12.0,0.19
LTC,2022,02/17/2022,1292389376.0,12.0,0.19
LTC,2022,03/22/2022,1292389376.0,12.0,0.19
LTC,2022,04/20/2022,1292389376.0,12.0,0.19
LTC,2022,05/20/2022,1292389376.0,12.0,0.19
LTC,2022,06/21/2022,1292389376.0,12.0,0.19
LTC,2022,07/20/2022,1292389376.0,12.0,0.19
LTC,2022,08/22/2022,1292389376.0,12.0,0.19
LTC,2022,09/21/2022,1292389376.0,12.0,0.19
LTC,2022,10/20/2022,1292389376.0,12.0,0.19
LTC,2022,11/21/2022,1292389376.0,12.0,0.19
LTC,2022,12/21/2022,1292389376.0,12.0,0.19
MCD,2021,02/26/2021,208836100096.0,4.0,1.29
MCD,2021,05/28/2021,208836100096.0,4.0,1.29
MCD,2021,08/31/2021,208836100096.0,4.0,1.29
MCD,2021,11/30/2021,208836100096.0,4.0,1.38
MCD,2022,02/28/2022,208836100096.0,4.0,1.38
MCD,2022,06/03/2022,208836100096.0,4.0,1.38
MCD,2022,08/31/2022,208836100096.0,4.0,1.38
MCD,2022,11/30/2022,208836100096.0,4.0,1.52
JPM,2021,01/05/2021,400178380800.0,4.0,0.9
JPM,2021,04/05/2021,400178380800.0,4.0,0.9
JPM,2021,07/02/2021,400178380800.0,4.0,0.9
JPM,2021,10/05/2021,400178380800.0,4.0,1.0
JPM,2022,01/05/2022,400178380800.0,4.0,1.0
JPM,2022,04/05/2022,400178380800.0,4.0,1.0
JPM,2022,07/05/2022,400178380800.0,4.0,1.0
JPM,2022,10/05/2022,400178380800.0,4.0,1.0
CAT,2021,01/19/2021,109362077696.0,4.0,1.03
CAT,2021,04/23/2021,109362077696.0,4.0,1.03
CAT,2021,07/19/2021,109362077696.0,4.0,1.11
CAT,2021,10/22/2021,109362077696.0,4.0,1.11
CAT,2022,01/19/2022,109362077696.0,4.0,1.11
CAT,2022,04/22/2022,109362077696.0,4.0,1.11
CAT,2022,07/19/2022,109362077696.0,4.0,1.2
CAT,2022,10/21/2022,109362077696.0,4.0,1.2
IBM,2021,02/09/2021,117037916160.0,4.0,1.558317
IBM,2021,05/07/2021,117037916160.0,4.0,1.567878
IBM,2021,08/09/2021,117037916160.0,4.0,1.567878
IBM,2021,11/09/2021,117037916160.0,4.0,1.64
IBM,2022,02/10/2022,117037916160.0,4.0,1.64
IBM,2022,05/09/2022,117037916160.0,4.0,1.65
IBM,2022,08/09/2022,117037916160.0,4.0,1.65
IBM,2022,11/09/2022,117037916160.0,4.0,1.65
CAH,2021,03/31/2021,21088518144.0,4.0,0.486
CAH,2021,06/30/2021,21088518144.0,4.0,0.491
CAH,2021,09/30/2021,21088518144.0,4.0,0.491
CAH,2021,12/31/2021,21088518144.0,4.0,0.491
CAH,2022,03/31/2022,21088518144.0,4.0,0.491
CAH,2022,06/30/2022,21088518144.0,4.0,0.496
CAH,2022,09/30/2022,21088518144.0,4.0,0.496
CAH,2022,12/30/2022,21088518144.0,4.0,0.496
GD,2021,01/14/2021,56307462144.0,4.0,1.1
GD,2021,04/08/2021,56307462144.0,4.0,1.19
GD,2021,07/01/2021,56307462144.0,4.0,1.19
GD,2021,10/07/2021,56307462144.0,4.0,1.19
GD,2022,01/13/2022,56307462144.0,4.0,1.19
GD,2022,04/07/2022,56307462144.0,4.0,1.26
GD,2022,06/30/2022,56307462144.0,4.0,1.26
GD,2022,10/06/2022,56307462144.0,4.0,1.26
RY,2021,01/25/2021,125645496320.0,4.0,0.848
RY,2021,04/21/2021,125645496320.0,4.0,0.857
RY,2021,07/23/2021,125645496320.0,4.0,0.86
RY,2021,10/25/2021,125645496320.0,4.0,0.874
RY,2022,01/25/2022,125645496320.0,4.0,0.95
RY,2022,04/22/2022,125645496320.0,4.0,0.954
RY,2022,07/25/2022,125645496320.0,4.0,0.991
RY,2022,10/25/2022,125645496320.0,4.0,0.934
BMO,2021,01/29/2021,59573211136.0,4.0,0.827
BMO,2021,04/30/2021,59573211136.0,4.0,0.863
